職位,網址
SM2425  國內外專案業務 Sales Account Manager,https//www.104.com.tw/job/7pl5z?jobsource=jolist_d_relevance
中南區營運事業處(高雄)【學年制實習工程師】-數據分析及雲服務,https//www.104.com.tw/job/6qzts?jobsource=jolist_d_relevance
數據工程師(碩士),https//www.104.com.tw/job/7n8pg?jobsource=jolist_d_relevance
系統工程師,https//www.104.com.tw/job/7ffzt?jobsource=jolist_b_relevance
儀科中心-生醫平台與育成組-誠徵計畫專任人員碩士級1名(健康大數據)(聘期至113年04月30日),https//www.104.com.tw/job/7ztd9?jobsource=jolist_b_relevance
CAD/CAM軟體開發工程師,https//www.104.com.tw/job/7l6co?jobsource=jolist_b_relevance
【數位數據】數據暨客群經營分析師,https//www.104.com.tw/job/5wxv6?jobsource=jolist_b_relevance
J1000 電子商務經營分析專員(數據分析),https//www.104.com.tw/job/7pg8m?jobsource=jolist_b_relevance
Account Manager 客戶經理,https//www.104.com.tw/job/749kp?jobsource=jolist_b_relevance
VIS230019-【2023暑期實習】產品數位專案實習生(新竹廠),https//www.104.com.tw/job/7x4vw?jobsource=jolist_b_relevance
數據分析人員,https//www.104.com.tw/job/7c4k8?jobsource=jolist_b_relevance
約聘資料分析師(T67駐點食藥署),https//www.104.com.tw/job/6f8rs?jobsource=jolist_b_relevance
資訊長,https//www.104.com.tw/job/7vxm0?jobsource=jolist_b_relevance
Backend Engineer PHP 後端工程師,https//www.104.com.tw/job/6x8kg?jobsource=jolist_b_relevance
數據工程師(土城場區/服裝組),https//www.104.com.tw/job/7xodk?jobsource=jolist_b_relevance
研發工程師(數據資料分析),https//www.104.com.tw/job/7zrae?jobsource=jolist_b_relevance
軟體工程師,https//www.104.com.tw/job/626my?jobsource=jolist_b_relevance
Data Engineer 資料工程師 (Microsoft Azure Platform),https//www.104.com.tw/job/7ctcc?jobsource=jolist_b_relevance
[V]人工智慧與程式設計開發工程師,https//www.104.com.tw/job/7yn3x?jobsource=jolist_b_relevance
資料科學家,https//www.104.com.tw/job/73o8b?jobsource=jolist_b_relevance
臺師大衛教系計畫碩士級/學士級專任助理,https//www.104.com.tw/job/7c5r3?jobsource=jolist_b_relevance
【儲備幹部】經營管理 A3CEO002,https//www.104.com.tw/job/6v83n?jobsource=jolist_b_relevance
高階MES .NET開發工程師,https//www.104.com.tw/job/7scfj?jobsource=jolist_b_relevance
【IT】商業智慧(BI)數據分析師【林口】,https//www.104.com.tw/job/7b6az?jobsource=jolist_a_relevance
應用軟體開發工程師 SW Application Engineer,https//www.104.com.tw/job/7we6y?jobsource=jolist_a_relevance
AI影像標註員,https//www.104.com.tw/job/79ywh?jobsource=jolist_a_relevance
視訊影像產品事業部 軟韌體工程師,https//www.104.com.tw/job/6bwgi?jobsource=jolist_a_relevance
總經理室-課員A,https//www.104.com.tw/job/69shd?jobsource=jolist_a_relevance
【2023新幹班】iPEBG Java程式設計專案工程師,https//www.104.com.tw/job/7t8bj?jobsource=jolist_a_relevance
數據/資料分析師,https//www.104.com.tw/job/6zn74?jobsource=jolist_a_relevance
AI人工智慧軟體工程師,https//www.104.com.tw/job/6cywq?jobsource=jolist_a_relevance
【商場行銷企劃招募】行銷專員【起薪33000~38000元，依經驗面議】,https//www.104.com.tw/job/4hkx0?jobsource=jolist_a_relevance
數據分析師_0167,https//www.104.com.tw/job/7q70t?jobsource=jolist_a_relevance
工研院資訊處_軟體工程師F1,https//www.104.com.tw/job/6eunj?jobsource=jolist_a_relevance
紡織製造業- 資訊長(工作地點:台中區)   (F83),https//www.104.com.tw/job/7wo0d?jobsource=jolist_a_relevance
世新大學知識經濟發展研究院-資料分析師,https//www.104.com.tw/job/7mgua?jobsource=jolist_a_relevance
高雄軟體園區- 演算法工程師 (可視訊面試),https//www.104.com.tw/job/7ejd6?jobsource=jolist_a_relevance
資料分析/內容推薦工程師,https//www.104.com.tw/job/7in95?jobsource=jolist_a_relevance
售前銷售顧問,https//www.104.com.tw/job/7jc38?jobsource=jolist_a_relevance
〔個金〕電子銀行部-數位金融產品經理,https//www.104.com.tw/job/6m0i1?jobsource=jolist_a_relevance
【擴編徵才】初中階-JAVA 後端軟體工程師,https//www.104.com.tw/job/7iy9s?jobsource=jolist_a_relevance
AI_解決方案架構師(AI Solution Atchitect)(台北/高雄),https//www.104.com.tw/job/7rluv?jobsource=jolist_a_relevance
TOYOTA數位販賣企劃人員,https//www.104.com.tw/job/7ihpw?jobsource=jolist_a_relevance
行銷助理 (工讀生),https//www.104.com.tw/job/7kkyz?jobsource=jolist_b_relevance
《歡迎新鮮人＆轉職者》iOS / Android App開發工程師,https//www.104.com.tw/job/6lexo?jobsource=jolist_b_relevance
AD30064 運籌系統分析師,https//www.104.com.tw/job/4bcxj?jobsource=jolist_b_relevance
軟體開發工程師 SW Engineer,https//www.104.com.tw/job/7wdie?jobsource=jolist_b_relevance
後端開發工程師 (JAVA),https//www.104.com.tw/job/766oy?jobsource=jolist_b_relevance
國衛院「精準健康大數據」計畫博士後研究員,https//www.104.com.tw/job/740bm?jobsource=jolist_b_relevance
FinTech資料工程師(台北)【BU68-FHA】,https//www.104.com.tw/job/4bs41?jobsource=jolist_b_relevance
客戶成功經理,https//www.104.com.tw/job/6sw4h?jobsource=jolist_b_relevance
GOOGLE/FB廣告投放,https//www.104.com.tw/job/7vm15?jobsource=jolist_b_relevance
專案管理人員,https//www.104.com.tw/job/6q129?jobsource=jolist_b_relevance
電子商務行銷儲備幹部-台北總公司,https//www.104.com.tw/job/50m5i?jobsource=jolist_b_relevance
【數位健康組】副研究員/研究員,https//www.104.com.tw/job/6vtg0?jobsource=jolist_b_relevance
程式設計人員,https//www.104.com.tw/job/7jqtt?jobsource=jolist_b_relevance
JAVA 軟體設計工程師 (龍潭渴望園區),https//www.104.com.tw/job/52t5m?jobsource=jolist_b_relevance
某航空工業公司-資訊工程師,https//www.104.com.tw/job/7raz4?jobsource=jolist_b_relevance
Showmore 業務專員,https//www.104.com.tw/job/7bobx?jobsource=jolist_b_relevance
細胞培養工藝開發資深研究員/研究員,https//www.104.com.tw/job/7texg?jobsource=jolist_b_relevance
智能販賣機 - 營運行政客服,https//www.104.com.tw/job/7y8gh?jobsource=jolist_b_relevance
營運數據應用分析師,https//www.104.com.tw/job/7z2fy?jobsource=jolist_b_relevance
資訊部門-資料倉儲軟體開發工程師,https//www.104.com.tw/job/7rfrv?jobsource=jolist_b_relevance
【資訊專才】專案管理師,https//www.104.com.tw/job/4duq0?jobsource=jolist_d_relevance
【擴編】Backend Engineer/ Programmer -軟體工程師 (後端),https//www.104.com.tw/job/7b5g3?jobsource=jolist_d_relevance
資訊專員,https//www.104.com.tw/job/7ayp6?jobsource=jolist_d_relevance
【工業4.0】智慧製造程式設計工程師++熟悉VB.Net、C#++(楊梅廠)《可採視訊面談》,https//www.104.com.tw/job/6t86p?jobsource=jolist_d_relevance
ERP工程師 (CD1030),https//www.104.com.tw/job/7iwr6?jobsource=jolist_d_relevance
台中梧棲區_工程技術工程師(近三井outlet),https//www.104.com.tw/job/7v1y4?jobsource=jolist_d_relevance
系統分析師-情報系統一team【全家便利商店關係企業】,https//www.104.com.tw/job/7cde4?jobsource=jolist_d_relevance
數據工程師,https//www.104.com.tw/job/7t859?jobsource=jolist_d_relevance
選擇權交易員(高頻交易/量化交易),https//www.104.com.tw/job/7ghj8?jobsource=jolist_d_relevance
Sales Operation Manager 業務營運經理（此職務提供實習計畫）,https//www.104.com.tw/job/7d3q3?jobsource=jolist_d_relevance
資訊專員,https//www.104.com.tw/job/7r18g?jobsource=jolist_d_relevance
營運行政專員,https//www.104.com.tw/job/7wxwn?jobsource=jolist_d_relevance
業務助理,https//www.104.com.tw/job/7z23j?jobsource=jolist_d_relevance
智能販賣機  台北工務運補人員,https//www.104.com.tw/job/7r8bn?jobsource=jolist_d_relevance
醫學統計分析師,https//www.104.com.tw/job/72xnq?jobsource=jolist_d_relevance
洗錢防制專業人員,https//www.104.com.tw/job/7rqkh?jobsource=jolist_d_relevance
T-全端應用軟體工程師（工作地：台南科學園區）,https//www.104.com.tw/job/6utpg?jobsource=jolist_d_relevance
業務代表(21010701A),https//www.104.com.tw/job/75vaf?jobsource=jolist_d_relevance
A410技服品管部-品管工程師(台南),https//www.104.com.tw/job/7xp9g?jobsource=jolist_d_relevance
Software Engineer 軟體工程師,https//www.104.com.tw/job/59w65?jobsource=jolist_d_relevance
917 - 數位金融規劃人員,https//www.104.com.tw/job/7d6qh?jobsource=jolist_d_relevance
研發工程師,https//www.104.com.tw/job/7y69x?jobsource=jolist_d_relevance
Senior Software Engineer (PMUT) _ Delta Research Center (Taipei),https//www.104.com.tw/job/7zxha?jobsource=jolist_d_relevance
資材採購-實習生,https//www.104.com.tw/job/7t54v?jobsource=jolist_d_relevance
秧悦美地酒店 OTA 收益管理副理(台北),https//www.104.com.tw/job/7u2ih?jobsource=jolist_d_relevance
智慧車載系統-雲端軟體工程師/技術主管,https//www.104.com.tw/job/7vmor?jobsource=jolist_d_relevance
AI數據策略研究員(投資顧問部),https//www.104.com.tw/job/6wjk1?jobsource=jolist_d_relevance
蛋白質分析研究員/資深研究員,https//www.104.com.tw/job/74ooz?jobsource=jolist_d_relevance
行政/財務/業務行銷助理,https//www.104.com.tw/job/7rqcn?jobsource=jolist_d_relevance
大數據工程師,https//www.104.com.tw/job/7ss2l?jobsource=jolist_d_relevance
國小教育課程教師,https//www.104.com.tw/job/77s13?jobsource=jolist_d_relevance
[全職] Acoustic / Audio  聲學工程師,https//www.104.com.tw/job/5e4x6?jobsource=jolist_d_relevance
"【數位金融】風險數據分析師_維運(數數發中心, DDT)",https//www.104.com.tw/job/7x3q9?jobsource=jolist_d_relevance
資料工程師,https//www.104.com.tw/job/7olnj?jobsource=jolist_d_relevance
【IT】MIS系統工程師,https//www.104.com.tw/job/7uwye?jobsource=jolist_d_relevance
〔資訊〕大數據建置工程師 (行銷應用),https//www.104.com.tw/job/7n2fl?jobsource=jolist_d_relevance
【產品團隊】專案助理 Project Assistant_台北,https//www.104.com.tw/job/7yipv?jobsource=jolist_d_relevance
[星系]金融APP 產品管理人員,https//www.104.com.tw/job/6x965?jobsource=jolist_d_relevance
Java雲端工程師(起薪六萬，資深者另議),https//www.104.com.tw/job/7w6vt?jobsource=jolist_d_relevance
Web 後端工程師(新竹/土城),https//www.104.com.tw/job/660ml?jobsource=jolist_d_relevance
工程師助理-AI人工智慧軟體,https//www.104.com.tw/job/7y697?jobsource=jolist_c_relevance
資訊專員,https//www.104.com.tw/job/7ayp6?jobsource=jolist_c_relevance
【工業4.0】智慧製造程式設計工程師++熟悉VB.Net、C#++(楊梅廠)《可採視訊面談》,https//www.104.com.tw/job/6t86p?jobsource=jolist_c_relevance
ERP工程師 (CD1030),https//www.104.com.tw/job/7iwr6?jobsource=jolist_c_relevance
數據分析專員,https//www.104.com.tw/job/7y9rp?jobsource=jolist_c_relevance
台中梧棲區_工程技術工程師(近三井outlet),https//www.104.com.tw/job/7v1y4?jobsource=jolist_c_relevance
CI1100 .Net C# 軟體工程師 Software Engineer,https//www.104.com.tw/job/59ljh?jobsource=jolist_c_relevance
系統分析師-情報系統一team【全家便利商店關係企業】,https//www.104.com.tw/job/7cde4?jobsource=jolist_c_relevance
選擇權交易員(高頻交易/量化交易),https//www.104.com.tw/job/7ghj8?jobsource=jolist_c_relevance
數據工程師,https//www.104.com.tw/job/7t859?jobsource=jolist_c_relevance
Sales Operation Manager 業務營運經理（此職務提供實習計畫）,https//www.104.com.tw/job/7d3q3?jobsource=jolist_c_relevance
資訊專員,https//www.104.com.tw/job/7r18g?jobsource=jolist_c_relevance
C# ASP.NET Web 工程師,https//www.104.com.tw/job/7i0u1?jobsource=jolist_c_relevance
平面設計師,https//www.104.com.tw/job/7dpwq?jobsource=jolist_c_relevance
業務助理,https//www.104.com.tw/job/7z23j?jobsource=jolist_c_relevance
智能販賣機  台北工務運補人員,https//www.104.com.tw/job/7r8bn?jobsource=jolist_c_relevance
[兼職] 產品測試/客服專員,https//www.104.com.tw/job/71moi?jobsource=jolist_c_relevance
後端Python工程師,https//www.104.com.tw/job/7wa74?jobsource=jolist_c_relevance
醫學統計分析師,https//www.104.com.tw/job/72xnq?jobsource=jolist_c_relevance
T-全端應用軟體工程師（工作地：台南科學園區）,https//www.104.com.tw/job/6utpg?jobsource=jolist_c_relevance
資深數位社群行銷專案執行 Senior Consultant,https//www.104.com.tw/job/6g673?jobsource=jolist_a_relevance
軟體設計工程師,https//www.104.com.tw/job/7rfvi?jobsource=jolist_a_relevance
Gogoro Network_ Deployment Program Manager,https//www.104.com.tw/job/7y4xo?jobsource=jolist_a_relevance
"捷運松江南京站~內勤保健諮詢顧問-友善中高齡《保障月薪(含滿月津貼及全勤)28,000+高獎金》",https//www.104.com.tw/job/7xssf?jobsource=jolist_a_relevance
【Facility】廠務值班工程師,https//www.104.com.tw/job/7zehz?jobsource=jolist_a_relevance
AI工程師,https//www.104.com.tw/job/7sms8?jobsource=jolist_a_relevance
業務(高抽成),https//www.104.com.tw/job/7yxrp?jobsource=jolist_a_relevance
ESG客戶成功經理,https//www.104.com.tw/job/7gyf8?jobsource=jolist_a_relevance
軟體研發工程師(模糊測試)_台達研究院(台北/南科),https//www.104.com.tw/job/7zd1t?jobsource=jolist_a_relevance
【總公司】月台管理企劃人員,https//www.104.com.tw/job/7fgmz?jobsource=jolist_a_relevance
【RD】軟體測試工程師,https//www.104.com.tw/job/7ru90?jobsource=jolist_a_relevance
資深程式設計人員,https//www.104.com.tw/job/76zxt?jobsource=jolist_a_relevance
.數據分析師(台北總公司),https//www.104.com.tw/job/72pdj?jobsource=jolist_a_relevance
【產品研發】Junior Backend Engineer,https//www.104.com.tw/job/7zu3d?jobsource=jolist_a_relevance
研究員 Research Associate,https//www.104.com.tw/job/7zrir?jobsource=jolist_a_relevance
資安工程師(數位鑑識)-20002862,https//www.104.com.tw/job/7io9u?jobsource=jolist_a_relevance
行銷企劃主管 Marketing Manager,https//www.104.com.tw/job/7yxjp?jobsource=jolist_a_relevance
資料分析工程師,https//www.104.com.tw/job/7rfgz?jobsource=jolist_a_relevance
AI/Python Engineer(圖像辨識/數據分析),https//www.104.com.tw/job/7o36a?jobsource=jolist_a_relevance
廣告優化 / 數據分析師,https//www.104.com.tw/job/7ix9j?jobsource=jolist_a_relevance
台灣奧美 PR 公關 (廣告/社群專長) - Account Executive 業務執行,https//www.104.com.tw/job/7scky?jobsource=jolist_d_relevance
資料工程師,https//www.104.com.tw/job/7ibi1?jobsource=jolist_d_relevance
會計人員(關企),https//www.104.com.tw/job/7wtka?jobsource=jolist_d_relevance
人工智慧系統開發工程師,https//www.104.com.tw/job/7694v?jobsource=jolist_d_relevance
"後端軟體工程師 Software Engineer - 數據科技(數數發中心, DDT)",https//www.104.com.tw/job/7txb7?jobsource=jolist_d_relevance
電商通路/平台業務經理主管幹部,https//www.104.com.tw/job/66noc?jobsource=jolist_d_relevance
CTO | Data Scientist /數據科學家,https//www.104.com.tw/job/7v4ro?jobsource=jolist_d_relevance
2023【仁寶GOLF實習】AI專案實習生,https//www.104.com.tw/job/7zaxi?jobsource=jolist_d_relevance
RD21175 資料庫暨自動化軟體工程師,https//www.104.com.tw/job/7yxnm?jobsource=jolist_d_relevance
電話行銷人員-台中南屯,https//www.104.com.tw/job/6gwjh?jobsource=jolist_d_relevance
【米塔集團】總管理處-資訊人員,https//www.104.com.tw/job/7ve0u?jobsource=jolist_d_relevance
SM2425  國內專案業務 Sales Account Manager,https//www.104.com.tw/job/742wz?jobsource=jolist_d_relevance
【資訊中心】AI工程師,https//www.104.com.tw/job/7zfqv?jobsource=jolist_d_relevance
Business Analysis Manager (Partnership),https//www.104.com.tw/job/7vfo8?jobsource=jolist_d_relevance
精實物流企劃專員,https//www.104.com.tw/job/73b10?jobsource=jolist_d_relevance
AI Engineer /  Data Scientist,https//www.104.com.tw/job/7z8r9?jobsource=jolist_d_relevance
行銷企劃主管,https//www.104.com.tw/job/7zzxk?jobsource=jolist_d_relevance
中區輕熟齡女裝服飾銷售人員【業界%數最優，直抽做多少抽多少】,https//www.104.com.tw/job/7iiou?jobsource=jolist_d_relevance
數位媒體投放專員（廣告優化師）,https//www.104.com.tw/job/7z8m5?jobsource=jolist_d_relevance
【2023研發替代役】軟韌體開發工程師 SWFW Engineer,https//www.104.com.tw/job/7d6w0?jobsource=jolist_d_relevance
系統分析師(D1)【全家便利商店關係企業】,https//www.104.com.tw/job/71teg?jobsource=jolist_a_relevance
AI軟體工程師(G0),https//www.104.com.tw/job/7zvd7?jobsource=jolist_a_relevance
演算法開發工程師,https//www.104.com.tw/job/7xk4k?jobsource=jolist_a_relevance
專案助理,https//www.104.com.tw/job/7f9hi?jobsource=jolist_a_relevance
